('414226', 0.86936914763167261)
('415391', 2.0924294285727676)
('397189', 0.9713013207978114)
('415686', 2.0881208849144448)
('399553', 2.3754226397709184)
('415971', 2.8182010648772748)
('416105', 3.1467613090467124)
('416578', 5.0125964011874728)
('417170', 2.6275739473430262)
('403024', 2.2654722091926782)
('418187', 1.3942604296108629)
('419147', 1.3028274461498532)
('419301', 0.6895433889944016)
