341870 	 20.5758 
352949 	 58.9027 
360799 	 50.2879 
363456 	 56.6995 
376021 	 60.7012 
384771 	 45.6451 
397283 	 33.6595 
406690 	 57.0721 
413150 	 62.5201 
416938 	 51.9032 
421028 	 53.8987 
428012 	 46.1909 
456794 	 48.4864 
473369 	 66.0994 
476283 	 61.0064 
476887 	 67.7624 
477879 	 44.0961 
480784 	 55.1118 
481564 	 41.8405 
495504 	 46.8498 
507697 	 57.03 
508458 	 45.7251 
532678 	 46.2331 
533155 	 54.4634 
558969 	 51.0813 
559483 	 61.564 
562760 	 61.3619 
573703 	 60.4745 
574062 	 49.3414 
577992 	 43.0047 
578665 	 65.0009 
584531 	 48.4505 
585251 	 49.9203 
596496 	 73.259 
607672 	 67.6381 
609218 	 64.9813 
641782 	 56.8461 
648374 	 43.9931 
654072 	 47.888 
672875 	 46.9311 
