1.231998936578577286e+00 1.023009949360364601e+00 3.935936119211869144e-01 1.166143071509720547e-01 5.112335930313233803e+02 1.543941178238333407e+02 8.103042256021264933e+00 4.775841265435774474e+00 5.784840801045673331e+00 1.103057651734534739e-01
1.021205232307992317e+00 9.314644379246466155e-01 2.658348147842611864e-01 1.165890109813071396e-01 4.155310806748353230e+02 8.460645234336317344e+01 1.463915166421744019e+00 8.025356418465010577e+00 1.311709345436347718e+01 9.241362334448777194e-02
8.373668204368608370e-01 7.347928394958387344e-01 7.159647511417398524e-01 1.711842655804696189e-02 1.144234771802118303e+03 1.925633415850778078e+02 -7.398346634689767498e-02 9.997770497992513938e+00 7.090451556621401252e+00 1.543705100333225833e-01
8.372747868300360885e-01 8.552411211107099342e-01 2.403486300116717544e-01 3.509219311042613421e-02 8.996536782063949431e+02 9.150922811776949573e+01 8.634106999981849384e+00 3.764491903985534460e+00 1.975486890281404895e+00 6.268187601937647013e-02
1.044576434697343625e+00 7.603048107790021382e-01 3.332001235053786425e-01 1.166846156019144959e-01 1.213264050492111437e+03 8.528773277914361017e+01 3.236146145984720945e+00 1.182943133947235381e+01 4.845651905290441874e+00 4.346925164030457367e-03
9.767952539721437288e-01 8.851653668859338353e-01 2.030531024104682281e-01 3.246691460593244261e-02 5.278744242821685475e+02 7.626267707336114654e+01 -5.050367689078458788e-01 5.197825355515874435e+00 1.037718896727861484e+01 1.340476710528010207e-01
8.349724947485532844e-01 1.110304960287232356e+00 1.892402493454686113e-02 1.903834932886847714e-02 5.049706095113742208e+02 3.221625293494443554e+01 9.021067471743577926e+00 1.112000992263859089e+01 6.433417780496649030e+00 8.096504820073235908e-02
8.859463272383303334e-01 7.471816108891121688e-01 4.557017214903686941e-01 9.370723685237090234e-03 1.102122125538694263e+03 2.861231145727265357e+01 9.842828884832641734e+00 3.986451749748058493e+00 1.354388600007164634e+01 1.290211352759579322e-01
1.031058745269696875e+00 8.075755294105788629e-01 4.598372281114001536e-01 5.448501205450009821e-02 1.274151421229407788e+03 4.408794544868572984e+01 6.601221486212792477e+00 1.254136756667016428e+01 1.076476384261984798e+01 5.685834361457420272e-02
9.941729546179404187e-01 1.258329275609672893e+00 2.365855123931253079e-01 1.112251702852520840e-01 1.276964461265232330e+03 5.770212482654457631e+01 2.308223442664808722e+00 6.285454066627725211e+00 1.072846928414198331e+01 7.016674888166402058e-02
1.300945017528158942e+00 1.324448206331064970e+00 2.298757752198442306e-01 1.232314804194304114e-01 7.763419984341389863e+02 4.017298448751657958e+01 1.558056048179121689e-01 8.485544527437667739e+00 3.179992097778264082e+00 1.672548944615326327e-02
1.370370510595472657e+00 1.092353829890413408e+00 7.640133837133540606e-02 3.219730719561164634e-02 1.050755163047847873e+03 1.603890134903819273e+02 6.346414830356494008e+00 9.096468877864573699e+00 2.721163791655905051e+00 9.800951803961510667e-02
1.339240529422955017e+00 7.284948904781770596e-01 1.999264843172757766e-01 4.395656472756498401e-02 1.266422999003266796e+03 3.977162306702826555e+01 4.110208880698865030e+00 4.871882719104344339e+00 5.801684371738277335e+00 3.563960747301864185e-02
1.031572824406558508e+00 7.656695219968885358e-01 5.715105079627907925e-01 3.240882381925500738e-02 1.077418814342223413e+03 6.602604875233257076e+01 5.562595797930070418e+00 7.213731840989337840e+00 3.157717963256520211e+00 3.486263864285709529e-02
1.065906536152360307e+00 1.006990303663147790e+00 4.142922657873491787e-01 1.024302828847289959e-01 1.135605308760235857e+03 8.757856322632810020e+01 6.040135234781651263e+00 9.635685028912865491e+00 1.450562263237237559e+01 1.243206420331210982e-01
9.024834804472637861e-01 1.220166745104798389e+00 6.975523842034550004e-01 1.133046311934097217e-01 1.078760555559228578e+03 4.814250758732034541e+01 6.190516777002853743e+00 4.753155643195394742e-02 4.112538615095811423e+00 1.251330721056542750e-03
9.005351923996653962e-01 1.257782271782428740e+00 7.483816602580466437e-01 6.022002639867722433e-03 8.521488476606432414e+02 3.919412363439688107e+01 -3.162471010835190555e-01 7.939349515502340360e+00 2.043044294007816397e+00 6.772115835009917539e-02
